Network_Code, Route_Code, Route_Direction, Segment, Sequence, Latitude, Longitude, Elevation
reseau_2012, D, A,18,  0, 6.124168, 46.17157, 0

reseau_2012, D, A,18,  1, 6.124097, 46.17155, 0

reseau_2012, D, A,18,  2, 6.124038, 46.17154, 0

reseau_2012, D, A,18,  3, 6.123994, 46.17152, 0

reseau_2012, D, A,18,  4, 6.123963, 46.1715, 0

reseau_2012, D, A,18,  5, 6.12395, 46.17149, 0

reseau_2012, D, A,19,  0, 6.127355, 46.17319, 0

reseau_2012, D, A,19,  1, 6.127076, 46.17305, 0

reseau_2012, D, A,19,  2, 6.126396, 46.1727, 0

reseau_2012, D, A,19,  3, 6.125626, 46.17233, 0

reseau_2012, D, A,19,  4, 6.124532, 46.17181, 0

reseau_2012, D, A,19,  5, 6.12446, 46.17176, 0

reseau_2012, D, A,19,  6, 6.124367, 46.17167, 0

reseau_2012, D, A,19,  7, 6.124274, 46.17161, 0

reseau_2012, D, A,19,  8, 6.124168, 46.17157, 0

reseau_2012, D, A,20,  0, 6.128668, 46.17708, 0

reseau_2012, D, A,20,  1, 6.128676, 46.17694, 0

reseau_2012, D, A,20,  2, 6.12869, 46.1768, 0

reseau_2012, D, A,20,  3, 6.128706, 46.17646, 0

reseau_2012, D, A,21,  0, 6.128575, 46.17855, 0

reseau_2012, D, A,21,  1, 6.128622, 46.17753, 0

reseau_2012, D, A,21,  2, 6.128668, 46.17708, 0

reseau_2012, D, A,22,  0, 6.082279, 46.14496, 0

reseau_2012, D, A,22,  1, 6.081964, 46.14473, 0

reseau_2012, D, A,22,  2, 6.081987, 46.14455, 0

reseau_2012, D, A,22,  3, 6.082714, 46.14408, 0

reseau_2012, D, A,22,  4, 6.083237, 46.14386, 0

reseau_2012, D, A,22,  5, 6.083982, 46.14381, 0

reseau_2012, D, A,22,  6, 6.084931, 46.1435, 0

reseau_2012, D, A,22,  7, 6.085285, 46.14274, 0

reseau_2012, D, A,23,  0, 6.082931, 46.14561, 0

reseau_2012, D, A,23,  1, 6.082279, 46.14496, 0

reseau_2012, D, A,24,  0, 6.106053, 46.16363, 0

reseau_2012, D, A,24,  1, 6.105958, 46.16359, 0

reseau_2012, D, A,24,  2, 6.103163, 46.16285, 0

reseau_2012, D, A,24,  3, 6.102498, 46.16257, 0

reseau_2012, D, A,24,  4, 6.10219, 46.16238, 0

reseau_2012, D, A,24,  5, 6.101861, 46.16217, 0

reseau_2012, D, A,24,  6, 6.101605, 46.16193, 0

reseau_2012, D, A,24,  7, 6.101529, 46.16186, 0

reseau_2012, D, A,24,  8, 6.101427, 46.16173, 0

reseau_2012, D, A,24,  9, 6.101215, 46.16145, 0

reseau_2012, D, A,24,  10, 6.101083, 46.16125, 0

reseau_2012, D, A,24,  11, 6.100879, 46.16093, 0

reseau_2012, D, A,24,  12, 6.10051, 46.16045, 0

reseau_2012, D, A,24,  13, 6.100358, 46.16024, 0

reseau_2012, D, A,24,  14, 6.100119, 46.16001, 0

reseau_2012, D, A,24,  15, 6.09867, 46.15878, 0

reseau_2012, D, A,24,  16, 6.098302, 46.15845, 0

reseau_2012, D, A,25,  0, 6.111269, 46.16541, 0

reseau_2012, D, A,25,  1, 6.111221, 46.16539, 0

reseau_2012, D, A,25,  2, 6.109794, 46.1648, 0

reseau_2012, D, A,25,  3, 6.109209, 46.16455, 0

reseau_2012, D, A,25,  4, 6.108597, 46.16431, 0

reseau_2012, D, A,25,  5, 6.107329, 46.16388, 0

reseau_2012, D, A,25,  6, 6.106133, 46.16364, 0

reseau_2012, D, A,25,  7, 6.106053, 46.16363, 0

reseau_2012, D, A,26,  0, 6.115782, 46.16744, 0

reseau_2012, D, A,26,  1, 6.115735, 46.16742, 0

reseau_2012, D, A,26,  2, 6.115516, 46.16731, 0

reseau_2012, D, A,26,  3, 6.114601, 46.16686, 0

reseau_2012, D, A,26,  4, 6.114254, 46.16667, 0

reseau_2012, D, A,26,  5, 6.113579, 46.16633, 0

reseau_2012, D, A,26,  6, 6.112794, 46.166, 0

reseau_2012, D, A,26,  7, 6.111393, 46.16545, 0

reseau_2012, D, A,26,  8, 6.111269, 46.16541, 0

reseau_2012, D, A,27,  0, 6.117892, 46.16849, 0

reseau_2012, D, A,27,  1, 6.11708, 46.16808, 0

reseau_2012, D, A,27,  2, 6.115846, 46.16747, 0

reseau_2012, D, A,27,  3, 6.115782, 46.16744, 0

reseau_2012, D, A,28,  0, 6.120085, 46.16958, 0

reseau_2012, D, A,28,  1, 6.11968, 46.16936, 0

reseau_2012, D, A,28,  2, 6.118462, 46.16876, 0

reseau_2012, D, A,28,  3, 6.117892, 46.16849, 0

reseau_2012, D, A,29,  0, 6.123543, 46.17126, 0

reseau_2012, D, A,29,  1, 6.123153, 46.17107, 0

reseau_2012, D, A,29,  2, 6.121062, 46.17003, 0

reseau_2012, D, A,29,  3, 6.12091, 46.16996, 0

reseau_2012, D, A,30,  0, 6.128592, 46.17963, 0

reseau_2012, D, A,30,  1, 6.128534, 46.17885, 0

reseau_2012, D, A,31,  0, 6.128005, 46.19582, 0

reseau_2012, D, A,31,  1, 6.128047, 46.19543, 0

reseau_2012, D, A,31,  2, 6.128052, 46.19493, 0

reseau_2012, D, A,31,  3, 6.128029, 46.19413, 0

reseau_2012, D, A,31,  4, 6.128036, 46.19288, 0

reseau_2012, D, A,31,  5, 6.128031, 46.19181, 0

reseau_2012, D, A,31,  6, 6.128021, 46.19117, 0

reseau_2012, D, A,31,  7, 6.128021, 46.18939, 0

reseau_2012, D, A,31,  8, 6.12801, 46.18917, 0

reseau_2012, D, A,31,  9, 6.127867, 46.18874, 0

reseau_2012, D, A,31,  10, 6.127806, 46.18846, 0

reseau_2012, D, A,31,  11, 6.12783, 46.1879, 0

reseau_2012, D, A,31,  12, 6.127839, 46.18753, 0

reseau_2012, D, A,31,  13, 6.127849, 46.18712, 0

reseau_2012, D, A,32,  0, 6.127849, 46.18712, 0

reseau_2012, D, A,32,  1, 6.127954, 46.18686, 0

reseau_2012, D, A,32,  2, 6.128077, 46.18641, 0

reseau_2012, D, A,32,  3, 6.128205, 46.18573, 0

reseau_2012, D, A,32,  4, 6.128296, 46.18493, 0

reseau_2012, D, A,32,  5, 6.128483, 46.18162, 0

reseau_2012, D, A,32,  6, 6.128592, 46.17963, 0

reseau_2012, D, A,33,  0, 6.140374, 46.20412, 0

reseau_2012, D, A,33,  1, 6.140058, 46.2041, 0

reseau_2012, D, A,33,  2, 6.139235, 46.20411, 0

reseau_2012, D, A,33,  3, 6.139222, 46.20411, 0

reseau_2012, D, A,33,  4, 6.13921, 46.20411, 0

reseau_2012, D, A,33,  5, 6.139197, 46.2041, 0

reseau_2012, D, A,33,  6, 6.139185, 46.2041, 0

reseau_2012, D, A,33,  7, 6.139174, 46.20409, 0

reseau_2012, D, A,33,  8, 6.139163, 46.20409, 0

reseau_2012, D, A,33,  9, 6.139154, 46.20408, 0

