Network_Code, Route_Code, Route_Direction, Segment, Sequence, Latitude, Longitude, Elevation
reseau_2012, 11, A,14,  16, 6.135997, 46.1868, 0

reseau_2012, 11, A,14,  17, 6.135974, 46.18666, 0

reseau_2012, 11, A,14,  18, 6.13591, 46.18637, 0

reseau_2012, 11, A,14,  19, 6.1358, 46.18582, 0

reseau_2012, 11, A,14,  20, 6.135742, 46.18554, 0

reseau_2012, 11, A,14,  21, 6.135699, 46.1855, 0

reseau_2012, 11, A,14,  22, 6.135635, 46.18547, 0

reseau_2012, 11, A,14,  23, 6.135583, 46.18545, 0

reseau_2012, 11, A,14,  24, 6.135547, 46.18541, 0

reseau_2012, 11, A,14,  25, 6.13554, 46.18537, 0

reseau_2012, 11, A,14,  26, 6.135556, 46.18533, 0

