year,month,day,agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop
12,10,1,VBZ,20121001,10,12,82272,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,41,41,0,1,1,7
12,10,1,VBZ,20121001,10,17,58410,1,11,2367,RIGI,"ZÃ¼rich, Seilbahn Rigiblick",COBRA,VBZ Tram Cobra,3065,87,87,0,4,3,21
12,10,1,VBZ,20121001,10,12,62862,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,205,205,0,16,46,48
12,10,1,VBZ,20121001,10,12,72372,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,75,75,0,0,14,25
12,10,1,VBZ,20121001,10,12,47382,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,216,216,0,18,4,56
12,10,1,VBZ,20121001,10,12,87360,1,11,2367,RIGI,"ZÃ¼rich, Seilbahn Rigiblick",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,4
12,10,1,VBZ,20121001,10,17,66762,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3065,163,163,0,4,26,34
12,10,1,VBZ,20121001,10,12,27582,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,312,312,0,26,5,68
12,10,1,VBZ,20121001,10,12,37482,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,131,131,0,1,8,29
12,10,1,VBZ,20121001,10,12,57162,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,106,106,0,6,16,23
12,10,1,VBZ,20121001,10,12,22062,1,11,3447,BOEO,"ZÃ¼rich, Bahnhof Oerlikon Ost",COBRA,VBZ Tram Cobra,3066,107,107,0,13,7,37
12,10,1,VBZ,20121001,10,12,37482,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,131,131,0,20,8,41
12,10,1,VBZ,20121001,10,17,66762,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3065,163,163,0,27,12,49
12,10,1,VBZ,20121001,10,12,27582,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,312,312,0,52,9,111
12,10,1,VBZ,20121001,10,12,87360,1,12,2924,WINK,"ZÃ¼rich, Winkelriedstrasse",COBRA,VBZ Tram Cobra,3066,13,13,0,0,1,3
12,10,1,VBZ,20121001,10,12,47382,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,216,216,0,21,11,66
12,10,1,VBZ,20121001,10,12,82272,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,41,41,0,7,3,11
12,10,1,VBZ,20121001,10,12,72372,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,75,75,0,2,12,15
12,10,1,VBZ,20121001,10,12,62862,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,205,205,0,26,15,59
12,10,1,VBZ,20121001,10,17,58410,1,12,2924,WINK,"ZÃ¼rich, Winkelriedstrasse",COBRA,VBZ Tram Cobra,3065,87,87,0,6,0,27
12,10,1,VBZ,20121001,10,12,57162,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,106,106,0,6,6,23
12,10,1,VBZ,20121001,10,12,22062,1,12,2572,SOER,"ZÃ¼rich, Sternen Oerlikon",COBRA,VBZ Tram Cobra,3066,107,107,0,20,2,55
12,10,1,VBZ,20121001,10,12,87360,1,13,1098,HALB,"ZÃ¼rich, Haldenbach",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,3
12,10,1,VBZ,20121001,10,12,62862,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,205,205,0,3,3,59
12,10,1,VBZ,20121001,10,12,22062,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,107,107,0,2,1,56
12,10,1,VBZ,20121001,10,12,27582,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,312,312,0,6,3,114
12,10,1,VBZ,20121001,10,12,82272,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,41,41,0,0,0,11
12,10,1,VBZ,20121001,10,12,47382,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,216,216,0,0,3,63
12,10,1,VBZ,20121001,10,17,58410,1,13,1098,HALB,"ZÃ¼rich, Haldenbach",COBRA,VBZ Tram Cobra,3065,87,87,0,5,4,28
12,10,1,VBZ,20121001,10,12,57162,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,106,106,0,0,2,21
12,10,1,VBZ,20121001,10,17,66762,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3065,163,163,0,4,5,48
12,10,1,VBZ,20121001,10,12,37482,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,131,131,0,3,0,44
12,10,1,VBZ,20121001,10,12,72372,1,13,2151,SALE,"ZÃ¼rich, Salersteig",COBRA,VBZ Tram Cobra,3066,75,75,0,0,2,13
12,10,1,VBZ,20121001,10,12,57162,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,106,106,0,0,0,21
12,10,1,VBZ,20121001,10,12,72372,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,75,75,0,2,3,12
12,10,1,VBZ,20121001,10,12,47382,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,216,216,0,6,2,67
12,10,1,VBZ,20121001,10,17,66762,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3065,163,163,0,3,4,47
12,10,1,VBZ,20121001,10,12,27582,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,312,312,0,17,10,121
12,10,1,VBZ,20121001,10,12,82272,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,41,41,0,2,0,13
12,10,1,VBZ,20121001,10,17,58410,1,14,736,ETHZ,"ZÃ¼rich, ETH/UniversitÃ¤tsspital",COBRA,VBZ Tram Cobra,3065,87,87,0,28,4,52
12,10,1,VBZ,20121001,10,12,87360,1,14,736,ETHZ,"ZÃ¼rich, ETH/UniversitÃ¤tsspital",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,3
12,10,1,VBZ,20121001,10,12,37482,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,131,131,0,9,4,49
12,10,1,VBZ,20121001,10,12,62862,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,205,205,0,6,9,56
12,10,1,VBZ,20121001,10,12,22062,1,14,465,BERN,"ZÃ¼rich, Berninaplatz",COBRA,VBZ Tram Cobra,3066,107,107,0,2,3,55
12,10,1,VBZ,20121001,10,12,82272,1,15,1215,HIRS,"ZÃ¼rich, Hirschwiesenstrasse",COBRA,VBZ Tram Cobra,3066,41,41,0,0,1,12
12,10,1,VBZ,20121001,10,12,87360,1,15,1100,HEGG,"ZÃ¼rich, Haldenegg",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,3
12,10,1,VBZ,20121001,10,12,47382,1,15,1215,HIRS,"ZÃ¼rich, Hirschwiesenstrasse",COBRA,VBZ Tram Cobra,3066,216,216,0,1,1,67
