routeNumber,runNumber,stopSequenceNr,stopId,stopNumber,stopNameShort,arrivalScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleNumber,latitude,longitude
6,4,7,1895,416,BSTR,34242,34245,34273,954624950,746,2100,8.53957,47.3763352777778
3,5,10,1306,478,BEZI,34248,34280,34297,352477186,822,3013,8.52586861111111,47.3739463888889
2,7,4,2770,1026,GRIM,34254,34290,34305,348596975,832,3024,8.49031888888889,47.3868955555556
2,2,3,2680,917,FROE,34260,34280,34292,1519636793,700,2049,8.55700111111111,47.355065
2,8,23,2535,1570,LIND,34266,34225,34244,1462654137,714,2065,8.48684527777778,47.3887352777778
2,6,10,2248,1579,LOCH,34272,34274,34286,1460087334,720,2071,8.51772777777778,47.3753444444444
4,9,17,2774,2030,RATH,34278,34229,34255,336007636,815,3006,8.54288833333333,47.3722288888889
3,10,9,2256,1608,LOEW,34284,34312,34342,230677192,814,3005,8.537525,47.3760488888889
2,3,25,2788,3041,BTIE,34290,34328,34592,350023992,837,3030,8.56126166666667,47.3499594444444
4,4,16,2287,1557,LIMM,34296,34267,34303,1445074865,711,2061,8.53227916666667,47.384995
2,9,18,1535,48,ALBP,34302,34297,34325,337390375,968,3029,8.51051388888889,47.3781736111111
3,1,5,1305,1472,KUNS,34308,34312,34330,329781688,848,3041,8.54916722222222,47.3704416666667
6,5,3,2508,2689,TUNN,34314,34315,34328,312913465,969,3052,8.532945,47.3664675
3,6,5,2582,1446,KSIH,34320,34363,34380,1429649594,717,2068,8.50801611111111,47.3777561111111
2,2,4,2615,1286,HOES,34326,34348,34361,1519637164,700,2049,8.55483611111111,47.3578836111111
2,8,24,2818,137,BACH,34332,34285,34296,1462654427,714,2065,8.48299583333333,47.3889858333333
4,3,22,2630,718,TONA,34338,34331,34342,354957380,821,3012,8.51087277777778,47.3900888888889
2,1,9,2590,615,BURK,34344,34393,34404,329238240,834,3026,8.54176583333333,47.3666086111111
2,7,5,2244,1364,KAPP,34350,34380,34393,348597394,832,3024,8.49511694444444,47.3850619444444
3,9,14,2248,1579,LOCH,34356,34382,34407,311948582,847,3040,8.51772777777778,47.3753444444444
2,5,15,1528,1861,PARA,34362,34398,34415,360988025,825,3016,8.53938055555555,47.3697255555556
4,11,8,1574,799,EWYS,34368,34448,34460,356151183,831,3023,8.52358638888889,47.3899791666667
10,5,17,2313,2151,SALE,34374,34362,34375,239541910,1005,3075,8.54841194444444,47.4060516666667
3,1,6,2641,1724,NEUM,34380,34393,34408,329781962,848,3041,8.54739888888889,47.3726444444444
3,6,6,1535,48,ALBP,34386,34426,34450,1429649825,717,2068,8.51051388888889,47.3781736111111
2,2,5,2689,832,FELD,34392,34403,34426,1519637436,700,2049,8.55231833333333,47.3602916666667
4,3,23,2575,2449,SPOW,34398,34386,34396,354957781,821,3012,8.50612,47.3915361111111
2,8,25,1310,821,FARB,34404,34366,34501,1462654801,714,2065,8.47936138888889,47.3907547222222
2,9,19,2245,1548,LETG,34410,34406,34416,337390979,968,3029,8.50382,47.3811588888889
6,1,3,2791,3045,ZUER,34416,34417,34429,296955404,985,3054,8.56442361111111,47.3787405555556
2,7,6,2253,883,FREI,34422,34453,34471,348597822,832,3024,8.49987083333333,47.3830302777778
3,9,15,2250,3019,ZYPR,34428,34457,34471,311948889,847,3040,8.51399138888889,47.3765941666667
2,11,14,1306,478,BEZI,34434,34488,34499,333239628,840,3033,8.52586861111111,47.3739463888889
2,1,10,2228,601,BOES,34440,34484,34500,329238490,834,3026,8.53984277777778,47.3683719444444
4,8,25,2651,2907,WILD,34446,34494,34505,1417220963,706,2055,8.5588925,47.3531038888889
5,6,10,1893,3026,ENGE,34452,34458,34472,1414163331,743,2097,8.53190444444444,47.3641386111111
4,1,3,2740,7,AARG,34458,34455,34465,374171332,824,3015,8.50270361111111,47.3922511111111
2,4,21,2689,832,FELD,34464,34519,34530,1438900174,961,2062,8.55231833333333,47.3602916666667
2,2,6,2612,1456,KRES,34470,34484,34496,1519637786,700,2049,8.54991055555556,47.3629144444444
5,2,15,2845,1407,KFLU,34476,34467,34866,1496623117,725,2077,8.56027305555556,47.376595
2,9,20,2253,883,FREI,34482,34467,34482,337391355,968,3029,8.49987083333333,47.3830302777778
7,4,2,2356,1620,MATT,34488,34487,34498,1446940158,736,2089,8.59114055555555,47.3986172222222
2,7,7,2245,1548,LETG,34494,34520,34535,348598198,832,3024,8.50382,47.3811588888889
2,1,11,1528,1861,PARA,34500,34549,34566,329238680,834,3026,8.53938055555555,47.3697255555556
3,2,2,1406,1278,HOEL,34506,34507,34518,1496107726,713,2064,8.563195,47.3657002777778
2,11,15,1906,1357,KALK,34512,34566,34582,333239992,840,3033,8.52153222222222,47.3742838888889
3,5,12,2262,1366,SIHP,34518,34521,34540,352478054,822,3013,8.53456472222222,47.3763380555556
5,5,2,2550,1519,LAUB,34524,34582,34594,1381731210,739,2093,8.51733638888889,47.3586536111111
2,8,1,1310,821,FARB,34530,34517,34517,1462654825,714,2065,8.47936138888889,47.3907547222222
2,4,22,2615,1286,HOES,34536,34582,34594,1438900509,961,2062,8.55483611111111,47.3578836111111
2,2,7,2104,1845,OPER,34542,34562,34588,1519638144,700,2049,8.54772305555556,47.3653102777778
4,9,20,2104,1845,OPER,34548,34510,34532,336008498,815,3006,8.54772305555556,47.3653102777778
2,5,17,2590,615,BURK,34554,34574,34584,360988491,825,3016,8.54176583333333,47.3666086111111
7,12,29,1511,1660,MORG,34560,34696,34716,1557956236,962,2085,8.530365,47.3432575
3,2,3,1531,2124,ROEM,34566,34573,34588,1496108054,713,2064,8.56037083333333,47.3680216666667
9,9,31,2482,1587,LUCH,34572,34612,34631,1055299749,749,2103,8.58662888888889,47.4068927777778
2,7,8,1535,48,ALBP,34578,34608,34630,348598795,832,3024,8.51051388888889,47.3781736111111
2,8,2,2818,137,BACH,34584,34565,34579,1462655169,714,2065,8.48299583333333,47.3889858333333
2,3,1,2788,3041,BTIE,34590,34607,34607,350024027,837,3030,8.56126166666667,47.3499594444444
2,11,16,2248,1579,LOCH,34596,34634,34648,333240281,840,3033,8.51772777777778,47.3753444444444
3,9,17,2582,1446,KSIH,34602,34597,34616,311949441,847,3040,8.50801611111111,47.3777561111111
