agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121007,3,05,20220,2,1,1357,KALK,"Zürich, Kalkbreite",COBRA,VBZ Tram Cobra,3025,1,1,0,0,0,0,2012,10,7
VBZ,20121007,7,03,74400,2,17,2411,SONN,"Zürich, Sonneggstrasse",2.16M-SÄNFTE,,2105-2435,82,82,0,0,2,33,2012,10,7
VBZ,20121007,7,03,74400,2,16,1100,HEGG,"Zürich, Haldenegg",2.16M-SÄNFTE,,2105-2435,82,82,0,8,0,35,2012,10,7
VBZ,20121007,7,03,74400,2,15,619,CENT,"Zürich, Central",2.16M-SÄNFTE,,2105-2435,82,82,0,19,0,27,2012,10,7
VBZ,20121007,7,03,74400,2,14,416,BSTR,"Zürich, Bahnhofstrasse/HB",2.16M-SÄNFTE,,2105-2435,82,82,0,3,7,8,2012,10,7
VBZ,20121007,7,03,74400,2,13,2054,RAUG,"Zürich, Rennweg",2.16M-SÄNFTE,,2105-2435,82,82,0,0,0,12,2012,10,7
VBZ,20121007,7,03,74400,2,12,1861,PARA,"Zürich, Paradeplatz",2.16M-SÄNFTE,,2105-2435,82,82,0,3,6,12,2012,10,7
VBZ,20121007,7,03,74400,2,11,2582,STOC,"Zürich, Stockerstrasse",2.16M-SÄNFTE,,2105-2435,82,82,0,2,0,15,2012,10,7
VBZ,20121007,7,03,74400,2,10,2689,TUNN,"Zürich, Tunnelstrasse",2.16M-SÄNFTE,,2105-2435,82,82,0,0,0,13,2012,10,7
VBZ,20121007,7,03,74400,2,9,3026,ENGE,"Zürich, Bahnhof Enge",2.16M-SÄNFTE,,2105-2435,82,82,0,8,4,13,2012,10,7
VBZ,20121007,7,03,74400,2,8,1666,MUSR,"Zürich, Museum Rietberg",2.16M-SÄNFTE,,2105-2435,82,82,0,0,1,9,2012,10,7
VBZ,20121007,7,03,74400,2,7,547,BRUN,"Zürich, Brunaustrasse",2.16M-SÄNFTE,,2105-2435,82,82,0,0,0,10,2012,10,7
VBZ,20121007,7,03,74400,2,6,488,BILO,"Zürich, Billoweg",2.16M-SÄNFTE,,2105-2435,82,82,0,1,0,10,2012,10,7
VBZ,20121007,7,03,74400,2,5,3044,BWOL,"Zürich, Bhf Wollishofen (Tram)",2.16M-SÄNFTE,,2105-2435,82,82,0,3,5,9,2012,10,7
VBZ,20121007,7,03,74400,2,4,2005,PWOL,"Zürich, Post Wollishofen",2.16M-SÄNFTE,,2105-2435,82,82,0,0,0,11,2012,10,7
VBZ,20121007,7,03,74400,2,3,1660,MORG,"Zürich, Morgental",2.16M-SÄNFTE,,2105-2435,82,82,0,4,0,11,2012,10,7
VBZ,20121007,7,03,74400,2,2,586,BUTZ,"Zürich, Butzenstrasse",2.16M-SÄNFTE,,2105-2435,82,82,0,1,0,7,2012,10,7
VBZ,20121007,7,03,74400,2,1,2950,WOLL,"Zürich, Wollishofen",2.16M-SÄNFTE,,2105-2435,82,82,0,6,0,6,2012,10,7
VBZ,20121007,7,03,71700,1,31,2950,WOLL,"Zürich, Wollishofen",2.16M-SÄNFTE,,2105-2435,75,75,0,0,28,0,2012,10,7
VBZ,20121007,7,03,71700,1,30,586,BUTZ,"Zürich, Butzenstrasse",2.16M-SÄNFTE,,2105-2435,75,75,0,2,2,28,2012,10,7
VBZ,20121007,7,03,71700,1,29,1660,MORG,"Zürich, Morgental",2.16M-SÄNFTE,,2105-2435,75,75,0,6,9,28,2012,10,7
VBZ,20121007,7,03,71700,1,28,2005,PWOL,"Zürich, Post Wollishofen",2.16M-SÄNFTE,,2105-2435,75,75,0,1,1,31,2012,10,7
VBZ,20121007,7,03,71700,1,27,3044,BWOL,"Zürich, Bhf Wollishofen (Tram)",2.16M-SÄNFTE,,2105-2435,75,75,0,2,0,31,2012,10,7
VBZ,20121007,7,03,71700,1,26,488,BILO,"Zürich, Billoweg",2.16M-SÄNFTE,,2105-2435,75,75,0,0,6,29,2012,10,7
