agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121005,2,09,20700,2,1,1357,KALK,"Zürich, Kalkbreite",COBRA,VBZ Tram Cobra,3026,19,19,0,5,0,5,2012,10,5
VBZ,20121005,5,05,65406,1,4,1359,KANT,"Zürich, Kantonsschule",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,98,104,0,11,2,31,2012,10,5
VBZ,20121005,5,05,65406,1,3,1889,PLAT,"Zürich, Platte",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,98,104,0,10,0,22,2012,10,5
VBZ,20121005,5,05,65406,1,2,2788,VOLT,"Zürich, Voltastrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,98,104,0,1,0,12,2012,10,5
VBZ,20121005,5,05,65406,1,1,1407,KFLU,"Zürich, Kirche Fluntern",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,98,104,0,5,0,11,2012,10,5
VBZ,20121005,5,05,63600,2,14,1407,KFLU,"Zürich, Kirche Fluntern",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,0,21,0,2012,10,5
VBZ,20121005,5,05,63600,2,13,2788,VOLT,"Zürich, Voltastrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,1,2,21,2012,10,5
VBZ,20121005,5,05,63600,2,12,1889,PLAT,"Zürich, Platte",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,2,8,22,2012,10,5
VBZ,20121005,5,05,63600,2,11,1359,KANT,"Zürich, Kantonsschule",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,0,9,28,2012,10,5
VBZ,20121005,5,05,63600,2,10,1472,KUNS,"Zürich, Kunsthaus",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,7,24,37,2012,10,5
VBZ,20121005,5,05,63600,2,9,440,BELL,"Zürich, Bellevue",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,33,88,54,2012,10,5
VBZ,20121005,5,05,63600,2,8,615,BURK,"Zürich, Bürkliplatz",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,6,10,109,2012,10,5
VBZ,20121005,5,05,63600,2,7,2055,RENT,"Zürich, Rentenanstalt",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,22,3,113,2012,10,5
VBZ,20121005,5,05,63600,2,6,3026,ENGE,"Zürich, Bahnhof Enge",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,43,8,94,2012,10,5
VBZ,20121005,5,05,63600,2,5,199,BEDE,"Zürich, Bahnhof Enge/Bederstr.",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,16,25,59,2012,10,5
VBZ,20121005,5,05,63600,2,4,2795,WAFF,"Zürich, Waffenplatzstrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,8,0,68,2012,10,5
VBZ,20121005,5,05,63600,2,3,2771,SIHN,"Zürich, Sihlcity Nord",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,33,0,60,2012,10,5
VBZ,20121005,5,05,63600,2,2,2550,SAAL,"Zürich, Saalsporthalle",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,25,0,27,2012,10,5
VBZ,20121005,5,05,63600,2,1,1519,LAUB,"Zürich, Laubegg",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,198,198,0,2,0,2,2012,10,5
VBZ,20121005,5,05,61806,1,14,1519,LAUB,"Zürich, Laubegg",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,0,11,0,2012,10,5
VBZ,20121005,5,05,61806,1,13,2550,SAAL,"Zürich, Saalsporthalle",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,4,3,11,2012,10,5
VBZ,20121005,5,05,61806,1,12,2771,SIHN,"Zürich, Sihlcity Nord",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,0,20,10,2012,10,5
VBZ,20121005,5,05,61806,1,11,2795,WAFF,"Zürich, Waffenplatzstrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,0,9,30,2012,10,5
VBZ,20121005,5,05,61806,1,10,199,BEDE,"Zürich, Bahnhof Enge/Bederstr.",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,9,6,39,2012,10,5
VBZ,20121005,5,05,61806,1,9,3026,ENGE,"Zürich, Bahnhof Enge",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,8,47,36,2012,10,5
VBZ,20121005,5,05,61806,1,8,2055,RENT,"Zürich, Rentenanstalt",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,11,8,75,2012,10,5
VBZ,20121005,5,05,61806,1,7,615,BURK,"Zürich, Bürkliplatz",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,9,4,72,2012,10,5
VBZ,20121005,5,05,61806,1,6,440,BELL,"Zürich, Bellevue",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,48,55,67,2012,10,5
VBZ,20121005,5,05,61806,1,5,1472,KUNS,"Zürich, Kunsthaus",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,11,8,74,2012,10,5
VBZ,20121005,5,05,61806,1,4,1359,KANT,"Zürich, Kantonsschule",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,18,0,71,2012,10,5
VBZ,20121005,5,05,61806,1,3,1889,PLAT,"Zürich, Platte",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,29,0,53,2012,10,5
VBZ,20121005,5,05,61806,1,2,2788,VOLT,"Zürich, Voltastrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,12,0,24,2012,10,5
VBZ,20121005,5,05,61806,1,1,1407,KFLU,"Zürich, Kirche Fluntern",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,161,171,0,2,0,12,2012,10,5
VBZ,20121005,5,05,60000,2,14,1407,KFLU,"Zürich, Kirche Fluntern",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,0,15,0,2012,10,5
VBZ,20121005,5,05,60000,2,13,2788,VOLT,"Zürich, Voltastrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,1,3,15,2012,10,5
VBZ,20121005,5,05,60000,2,12,1889,PLAT,"Zürich, Platte",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,3,3,17,2012,10,5
VBZ,20121005,5,05,60000,2,11,1359,KANT,"Zürich, Kantonsschule",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,1,13,17,2012,10,5
VBZ,20121005,5,05,60000,2,10,1472,KUNS,"Zürich, Kunsthaus",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,6,12,29,2012,10,5
VBZ,20121005,5,05,60000,2,9,440,BELL,"Zürich, Bellevue",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,17,49,35,2012,10,5
VBZ,20121005,5,05,60000,2,8,615,BURK,"Zürich, Bürkliplatz",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,7,11,67,2012,10,5
VBZ,20121005,5,05,60000,2,7,2055,RENT,"Zürich, Rentenanstalt",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,21,1,71,2012,10,5
VBZ,20121005,5,05,60000,2,6,3026,ENGE,"Zürich, Bahnhof Enge",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,21,4,51,2012,10,5
VBZ,20121005,5,05,60000,2,5,199,BEDE,"Zürich, Bahnhof Enge/Bederstr.",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,11,10,34,2012,10,5
VBZ,20121005,5,05,60000,2,4,2795,WAFF,"Zürich, Waffenplatzstrasse",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,8,2,33,2012,10,5
VBZ,20121005,5,05,60000,2,3,2771,SIHN,"Zürich, Sihlcity Nord",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,15,1,27,2012,10,5
VBZ,20121005,5,05,60000,2,2,2550,SAAL,"Zürich, Saalsporthalle",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2098-2420,125,125,0,11,1,13,2012,10,5
