agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121006,3,06,27540,1,1,478,BEZI,"Zürich, Bezirksgebäude",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2064-2402,16,16,0,1,0,1,2012,10,6
VBZ,20121006,7,04,48570,2,27,2107,ROSW,"Zürich, Roswiesen",2.16M-SÄNFTE,,2105-2435,125,125,0,0,1,21,2012,10,6
VBZ,20121006,7,04,48570,2,26,2294,SCHW,"Zürich, Schwamendingerplatz",2.16M-SÄNFTE,,2105-2435,125,125,0,17,6,22,2012,10,6
VBZ,20121006,7,04,48570,2,25,2326,SCHO,"Zürich, Schörlistrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,2,0,11,2012,10,6
VBZ,20121006,7,04,48570,2,24,2814,WALD,"Zürich, Waldgarten",2.16M-SÄNFTE,,2105-2435,125,125,0,2,2,9,2012,10,6
VBZ,20121006,7,04,48570,2,23,2666,TIER,"Zürich, Tierspital",2.16M-SÄNFTE,,2105-2435,125,125,0,0,1,9,2012,10,6
VBZ,20121006,7,04,48570,2,22,1643,MIBU,"Zürich, Milchbuck",2.16M-SÄNFTE,,2105-2435,125,125,0,4,7,10,2012,10,6
VBZ,20121006,7,04,48570,2,21,1061,GUGG,"Zürich, Guggachstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,2,7,13,2012,10,6
VBZ,20121006,7,04,48570,2,20,2158,SPLA,"Zürich, Schaffhauserplatz",2.16M-SÄNFTE,,2105-2435,125,125,0,9,1,18,2012,10,6
VBZ,20121006,7,04,48570,2,19,2128,ROES,"Zürich, Röslistrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,0,0,10,2012,10,6
VBZ,20121006,7,04,48570,2,18,1856,OTTI,"Zürich, Ottikerstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,0,1,10,2012,10,6
VBZ,20121006,7,04,48570,2,17,2411,SONN,"Zürich, Sonneggstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,0,2,11,2012,10,6
VBZ,20121006,7,04,48570,2,16,1100,HEGG,"Zürich, Haldenegg",2.16M-SÄNFTE,,2105-2435,125,125,0,0,3,13,2012,10,6
VBZ,20121006,7,04,48570,2,15,619,CENT,"Zürich, Central",2.16M-SÄNFTE,,2105-2435,125,125,0,7,4,16,2012,10,6
VBZ,20121006,7,04,48570,2,14,416,BSTR,"Zürich, Bahnhofstrasse/HB",2.16M-SÄNFTE,,2105-2435,125,125,0,3,27,13,2012,10,6
VBZ,20121006,7,04,48570,2,13,2054,RAUG,"Zürich, Rennweg",2.16M-SÄNFTE,,2105-2435,125,125,0,10,12,37,2012,10,6
VBZ,20121006,7,04,48570,2,12,1861,PARA,"Zürich, Paradeplatz",2.16M-SÄNFTE,,2105-2435,125,125,0,9,5,39,2012,10,6
VBZ,20121006,7,04,48570,2,11,2582,STOC,"Zürich, Stockerstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,0,5,35,2012,10,6
VBZ,20121006,7,04,48570,2,10,2689,TUNN,"Zürich, Tunnelstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,1,0,40,2012,10,6
VBZ,20121006,7,04,48570,2,9,3026,ENGE,"Zürich, Bahnhof Enge",2.16M-SÄNFTE,,2105-2435,125,125,0,4,8,39,2012,10,6
VBZ,20121006,7,04,48570,2,8,1666,MUSR,"Zürich, Museum Rietberg",2.16M-SÄNFTE,,2105-2435,125,125,0,4,0,43,2012,10,6
VBZ,20121006,7,04,48570,2,7,547,BRUN,"Zürich, Brunaustrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,0,1,39,2012,10,6
VBZ,20121006,7,04,48570,2,6,488,BILO,"Zürich, Billoweg",2.16M-SÄNFTE,,2105-2435,125,125,0,2,0,40,2012,10,6
VBZ,20121006,7,04,48570,2,5,3044,BWOL,"Zürich, Bhf Wollishofen (Tram)",2.16M-SÄNFTE,,2105-2435,125,125,0,2,6,38,2012,10,6
VBZ,20121006,7,04,48570,2,4,2005,PWOL,"Zürich, Post Wollishofen",2.16M-SÄNFTE,,2105-2435,125,125,0,6,0,42,2012,10,6
VBZ,20121006,7,04,48570,2,3,1660,MORG,"Zürich, Morgental",2.16M-SÄNFTE,,2105-2435,125,125,0,17,0,36,2012,10,6
VBZ,20121006,7,04,48570,2,2,586,BUTZ,"Zürich, Butzenstrasse",2.16M-SÄNFTE,,2105-2435,125,125,0,6,0,19,2012,10,6
VBZ,20121006,7,04,48570,2,1,2950,WOLL,"Zürich, Wollishofen",2.16M-SÄNFTE,,2105-2435,125,125,0,13,0,13,2012,10,6
VBZ,20121006,7,04,45690,1,31,2950,WOLL,"Zürich, Wollishofen",2.16M-SÄNFTE,,2105-2435,160,160,0,0,17,0,2012,10,6
VBZ,20121006,7,04,45690,1,30,586,BUTZ,"Zürich, Butzenstrasse",2.16M-SÄNFTE,,2105-2435,160,160,0,0,7,17,2012,10,6
VBZ,20121006,7,04,45690,1,29,1660,MORG,"Zürich, Morgental",2.16M-SÄNFTE,,2105-2435,160,160,0,7,10,24,2012,10,6
VBZ,20121006,7,04,45690,1,28,2005,PWOL,"Zürich, Post Wollishofen",2.16M-SÄNFTE,,2105-2435,160,160,0,0,5,27,2012,10,6
