agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121001,2,06,24660,1,15,1861,PARA,"Zürich, Paradeplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,1,12,37,2012,10,1
VBZ,20121001,2,06,24660,1,16,601,BOES,"Zürich, Börsenstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,9,28,2012,10,1
VBZ,20121001,2,06,24660,1,17,615,BURK,"Zürich, Bürkliplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,20,5,43,2012,10,1
VBZ,20121001,2,06,24660,1,18,440,BELL,"Zürich, Bellevue",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,4,18,29,2012,10,1
VBZ,20121001,2,06,24660,1,19,1845,OPER,"Zürich, Opernhaus",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,32,21,40,2012,10,1
VBZ,20121001,2,06,24660,1,20,1456,KRES,"Zürich, Kreuzstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,2,3,39,2012,10,1
VBZ,20121001,2,06,24660,1,21,832,FELD,"Zürich, Feldeggstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,14,25,2012,10,1
VBZ,20121001,2,06,24660,1,22,1286,HOES,"Zürich, Höschgasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,7,18,2012,10,1
VBZ,20121001,2,06,24660,1,23,917,FROE,"Zürich, Fröhlichstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,4,14,2012,10,1
VBZ,20121001,2,06,24660,1,24,2907,WILD,"Zürich, Wildbachstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,9,5,2012,10,1
VBZ,20121001,2,06,24660,1,25,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,168,168,0,0,5,0,2012,10,1
VBZ,20121001,2,06,26940,2,1,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,15,0,15,2012,10,1
VBZ,20121001,2,06,26940,2,2,2907,WILD,"Zürich, Wildbachstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,13,2,26,2012,10,1
VBZ,20121001,2,06,26940,2,3,917,FROE,"Zürich, Fröhlichstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,15,0,41,2012,10,1
VBZ,20121001,2,06,26940,2,4,1286,HOES,"Zürich, Höschgasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,20,0,61,2012,10,1
VBZ,20121001,2,06,26940,2,5,832,FELD,"Zürich, Feldeggstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,6,0,67,2012,10,1
VBZ,20121001,2,06,26940,2,6,1456,KRES,"Zürich, Kreuzstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,8,2,73,2012,10,1
VBZ,20121001,2,06,26940,2,7,1845,OPER,"Zürich, Opernhaus",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,14,21,66,2012,10,1
VBZ,20121001,2,06,26940,2,8,440,BELL,"Zürich, Bellevue",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,51,20,97,2012,10,1
VBZ,20121001,2,06,26940,2,9,615,BURK,"Zürich, Bürkliplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,279,279,0,2,9,90,2012,10,1
