agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121002,2,04,18540,2,1,1357,KALK,"Zürich, Kalkbreite",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,8,8,0,2,0,2,2012,10,2
VBZ,20121002,4,08,79260,2,5,832,FELD,"Zürich, Feldeggstrasse",COBRA,VBZ Tram Cobra,3023,78,78,0,2,1,19,2012,10,2
VBZ,20121002,4,08,79260,2,4,1286,HOES,"Zürich, Höschgasse",COBRA,VBZ Tram Cobra,3023,78,78,0,7,1,18,2012,10,2
VBZ,20121002,4,08,79260,2,3,917,FROE,"Zürich, Fröhlichstrasse",COBRA,VBZ Tram Cobra,3023,78,78,0,4,1,12,2012,10,2
VBZ,20121002,4,08,79260,2,2,2907,WILD,"Zürich, Wildbachstrasse",COBRA,VBZ Tram Cobra,3023,78,78,0,6,0,9,2012,10,2
VBZ,20121002,4,08,79260,2,1,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",COBRA,VBZ Tram Cobra,3023,78,78,0,3,0,3,2012,10,2
VBZ,20121002,4,08,77160,1,26,3041,BTIE,"Zürich, Bahnhof Tiefenbrunnen",COBRA,VBZ Tram Cobra,3023,93,93,0,0,4,0,2012,10,2
VBZ,20121002,4,08,77160,1,25,2907,WILD,"Zürich, Wildbachstrasse",COBRA,VBZ Tram Cobra,3023,93,93,0,1,1,4,2012,10,2
VBZ,20121002,4,08,77160,1,24,917,FROE,"Zürich, Fröhlichstrasse",COBRA,VBZ Tram Cobra,3023,93,93,0,1,9,4,2012,10,2
VBZ,20121002,4,08,77160,1,23,1286,HOES,"Zürich, Höschgasse",COBRA,VBZ Tram Cobra,3023,93,93,0,0,10,12,2012,10,2
VBZ,20121002,4,08,77160,1,22,832,FELD,"Zürich, Feldeggstrasse",COBRA,VBZ Tram Cobra,3023,93,93,0,0,5,22,2012,10,2
VBZ,20121002,4,08,77160,1,21,1456,KRES,"Zürich, Kreuzstrasse",COBRA,VBZ Tram Cobra,3023,93,93,0,1,6,27,2012,10,2
VBZ,20121002,4,08,77160,1,20,1845,OPER,"Zürich, Opernhaus",COBRA,VBZ Tram Cobra,3023,93,93,0,10,6,32,2012,10,2
VBZ,20121002,4,08,77160,1,19,440,BELL,"Zürich, Bellevue",COBRA,VBZ Tram Cobra,3023,93,93,0,11,6,28,2012,10,2
