agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121004,3,08,21900,1,1,47,ALBR,"Zürich, Albisrieden",2.16M-2.21M,VBZ Tram 2000 mit Anhänger 16m,2074-2404,86,86,0,5,0,5,2012,10,4
VBZ,20121004,7,11,25890,1,11,1061,GUGG,"Zürich, Guggachstrasse",2.16M-SÄNFTE,,2105-2435,362,362,0,4,0,70,2012,10,4
VBZ,20121004,7,11,25890,1,10,1643,MIBU,"Zürich, Milchbuck",2.16M-SÄNFTE,,2105-2435,362,362,0,9,51,66,2012,10,4
VBZ,20121004,7,11,25890,1,9,2666,TIER,"Zürich, Tierspital",2.16M-SÄNFTE,,2105-2435,362,362,0,9,13,108,2012,10,4
VBZ,20121004,7,11,25890,1,8,2814,WALD,"Zürich, Waldgarten",2.16M-SÄNFTE,,2105-2435,362,362,0,5,2,112,2012,10,4
VBZ,20121004,7,11,25890,1,7,2326,SCHO,"Zürich, Schörlistrasse",2.16M-SÄNFTE,,2105-2435,362,362,0,17,0,109,2012,10,4
VBZ,20121004,7,11,25890,1,6,2294,SCHW,"Zürich, Schwamendingerplatz",2.16M-SÄNFTE,,2105-2435,362,362,0,32,25,92,2012,10,4
VBZ,20121004,7,11,25890,1,5,2107,ROSW,"Zürich, Roswiesen",2.16M-SÄNFTE,,2105-2435,362,362,0,2,0,85,2012,10,4
VBZ,20121004,7,11,25890,1,4,998,GLAT,"Zürich, Glattwiesen",2.16M-SÄNFTE,,2105-2435,362,362,0,9,9,83,2012,10,4
VBZ,20121004,7,11,25890,1,3,2008,PROB,"Zürich, Probstei",2.16M-SÄNFTE,,2105-2435,362,362,0,17,2,83,2012,10,4
VBZ,20121004,7,11,25890,1,2,1620,MATT,"Zürich, Mattenhof",2.16M-SÄNFTE,,2105-2435,362,362,0,17,0,68,2012,10,4
VBZ,20121004,7,11,25890,1,1,2575,BSTE,"Zürich, Bahnhof Stettbach",2.16M-SÄNFTE,,2105-2435,362,362,0,51,0,51,2012,10,4
VBZ,20121004,7,11,23100,2,31,2575,BSTE,"Zürich, Bahnhof Stettbach",2.16M-SÄNFTE,,2105-2435,148,148,0,0,42,0,2012,10,4
VBZ,20121004,7,11,23100,2,30,1620,MATT,"Zürich, Mattenhof",2.16M-SÄNFTE,,2105-2435,148,148,0,3,2,42,2012,10,4
VBZ,20121004,7,11,23100,2,29,2008,PROB,"Zürich, Probstei",2.16M-SÄNFTE,,2105-2435,148,148,0,1,0,41,2012,10,4
VBZ,20121004,7,11,23100,2,28,998,GLAT,"Zürich, Glattwiesen",2.16M-SÄNFTE,,2105-2435,148,148,0,7,1,40,2012,10,4
VBZ,20121004,7,11,23100,2,27,2107,ROSW,"Zürich, Roswiesen",2.16M-SÄNFTE,,2105-2435,148,148,0,2,0,34,2012,10,4
VBZ,20121004,7,11,23100,2,26,2294,SCHW,"Zürich, Schwamendingerplatz",2.16M-SÄNFTE,,2105-2435,148,148,0,16,4,32,2012,10,4
VBZ,20121004,7,11,23100,2,25,2326,SCHO,"Zürich, Schörlistrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,7,2,20,2012,10,4
VBZ,20121004,7,11,23100,2,24,2814,WALD,"Zürich, Waldgarten",2.16M-SÄNFTE,,2105-2435,148,148,0,2,0,15,2012,10,4
VBZ,20121004,7,11,23100,2,23,2666,TIER,"Zürich, Tierspital",2.16M-SÄNFTE,,2105-2435,148,148,0,0,7,13,2012,10,4
VBZ,20121004,7,11,23100,2,22,1643,MIBU,"Zürich, Milchbuck",2.16M-SÄNFTE,,2105-2435,148,148,0,14,6,20,2012,10,4
VBZ,20121004,7,11,23100,2,21,1061,GUGG,"Zürich, Guggachstrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,2,2,12,2012,10,4
VBZ,20121004,7,11,23100,2,20,2158,SPLA,"Zürich, Schaffhauserplatz",2.16M-SÄNFTE,,2105-2435,148,148,0,6,2,12,2012,10,4
VBZ,20121004,7,11,23100,2,19,2128,ROES,"Zürich, Röslistrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,0,0,8,2012,10,4
VBZ,20121004,7,11,23100,2,18,1856,OTTI,"Zürich, Ottikerstrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,1,0,8,2012,10,4
VBZ,20121004,7,11,23100,2,17,2411,SONN,"Zürich, Sonneggstrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,0,2,7,2012,10,4
VBZ,20121004,7,11,23100,2,16,1100,HEGG,"Zürich, Haldenegg",2.16M-SÄNFTE,,2105-2435,148,148,0,0,0,9,2012,10,4
VBZ,20121004,7,11,23100,2,15,619,CENT,"Zürich, Central",2.16M-SÄNFTE,,2105-2435,148,148,0,2,3,9,2012,10,4
VBZ,20121004,7,11,23100,2,14,416,BSTR,"Zürich, Bahnhofstrasse/HB",2.16M-SÄNFTE,,2105-2435,148,148,0,1,30,10,2012,10,4
VBZ,20121004,7,11,23100,2,13,2054,RAUG,"Zürich, Rennweg",2.16M-SÄNFTE,,2105-2435,148,148,0,0,4,39,2012,10,4
VBZ,20121004,7,11,23100,2,12,1861,PARA,"Zürich, Paradeplatz",2.16M-SÄNFTE,,2105-2435,148,148,0,2,6,43,2012,10,4
VBZ,20121004,7,11,23100,2,11,2582,STOC,"Zürich, Stockerstrasse",2.16M-SÄNFTE,,2105-2435,148,148,0,1,7,47,2012,10,4
