tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
26910,2,531,1,1,2245,LETG,Zürich Letzigrund,27324,27348,27346
26910,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,27408,27444,27447
26910,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,27480,27510,27518
26910,2,531,1,1,2248,LOCH,Zürich Lochergut,27552,27582,27589
26910,2,531,1,1,1906,KALK,Zürich Kalkbreite,27642,27672,27687
26910,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,27714,27756,27767
26910,2,531,1,1,1502,STAU,Zürich Stauffacher,27816,27906,27908
26910,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,27966,28008,28035
26910,2,531,1,1,1528,PARA,Zürich Paradeplatz,28068,28128,28148
26910,2,531,1,1,2228,BOES,Zürich Börsenstrasse,28170,28188,28199
26910,2,531,1,1,2590,BURK,Zürich Bürkliplatz,28260,28296,28286
26910,2,531,1,1,1565,BELL,Zürich Bellevue,28380,28440,28410
26910,2,531,1,1,2104,OPER,Zürich Opernhaus,28494,28536,28523
26910,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,28566,28602,28578
26910,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,28644,28674,28649
26910,2,531,1,1,2615,HOES,Zürich Höschgasse,28716,28746,28720
26910,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,28794,28824,28790
26910,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,28854,28878,28849
26910,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,28920,28920,29201
NULL,2,531,1,2,2651,WILD,Zürich Wildbachstrasse,29250,29280,29281
NULL,2,531,1,2,2680,FROE,Zürich Fröhlichstrasse,29310,29340,29350
NULL,2,531,1,2,2615,HOES,Zürich Höschgasse,29376,29406,29428
NULL,2,531,1,2,2689,FELD,Zürich Feldeggstrasse,29442,29478,29483
NULL,2,531,1,2,2612,KRES,Zürich Kreuzstrasse,29520,29544,29549
NULL,2,531,1,2,2104,OPER,Zürich Opernhaus,29592,29628,29649
NULL,2,531,1,2,1565,BELL,Zürich Bellevue,29712,29766,29821
NULL,2,531,1,2,2590,BURK,Zürich Bürkliplatz,29844,29904,30086
NULL,2,531,1,2,2228,BOES,Zürich Börsenstrasse,29940,29970,30187
NULL,2,531,1,2,1528,PARA,Zürich Paradeplatz,30006,30060,30291
NULL,2,531,1,2,2657,SIHS,Zürich Sihlstrasse,30108,30156,30419
NULL,2,531,1,2,1502,STAU,Zürich Stauffacher,30228,30318,30561
NULL,2,531,1,2,1306,BEZI,Zürich Bezirksgebäude,30372,30414,30632
NULL,2,531,1,2,1906,KALK,Zürich Kalkbreite,30456,30486,30710
NULL,2,531,1,2,2248,LOCH,Zürich Lochergut,30534,30564,30787
NULL,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,30606,30636,30847
NULL,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,30690,30738,30933
NULL,2,531,1,2,2245,LETG,Zürich Letzigrund,30804,30828,31016
NULL,2,531,1,2,2253,FREI,Zürich Freihofstrasse,30876,30900,31076
NULL,2,531,1,2,2244,KAPP,Zürich Kappeli,30948,30972,31162
NULL,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,31044,31062,31238
NULL,2,531,1,2,2535,LIND,Zürich Lindenplatz,31116,31146,31305
NULL,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,31188,31206,31357
NULL,2,531,1,2,1310,FARB,Zürich Farbhof,31260,31260,31447
31380,2,531,1,1,1310,FARB,Zürich Farbhof,31380,31380,31462
31380,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,31434,31452,31514
31380,2,531,1,1,2535,LIND,Zürich Lindenplatz,31482,31512,31581
31380,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,31554,31584,31651
31380,2,531,1,1,2244,KAPP,Zürich Kappeli,31650,31674,31726
31380,2,531,1,1,2253,FREI,Zürich Freihofstrasse,31722,31746,31801
31380,2,531,1,1,2245,LETG,Zürich Letzigrund,31794,31818,31869
31380,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,31878,31920,31965
31380,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,31956,31986,32031
31380,2,531,1,1,2248,LOCH,Zürich Lochergut,32022,32052,32095
31380,2,531,1,1,1906,KALK,Zürich Kalkbreite,32112,32154,32192
31380,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,32190,32232,32273
31380,2,531,1,1,1502,STAU,Zürich Stauffacher,32292,32382,32406
31380,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,32460,32502,32543
31380,2,531,1,1,1528,PARA,Zürich Paradeplatz,32562,32622,32644
31380,2,531,1,1,2228,BOES,Zürich Börsenstrasse,32664,32682,32699
31380,2,531,1,1,2590,BURK,Zürich Bürkliplatz,32754,32790,32777
31380,2,531,1,1,1565,BELL,Zürich Bellevue,32868,32928,32885
31380,2,531,1,1,2104,OPER,Zürich Opernhaus,32976,33012,33003
31380,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,33042,33072,33059
31380,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,33114,33144,33118
31380,2,531,1,1,2615,HOES,Zürich Höschgasse,33186,33216,33183
31380,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,33264,33294,33262
31380,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,33324,33348,33317
31380,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,33390,33390,33697
33690,2,531,1,2,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,33690,33690,33714
33690,2,531,1,2,2651,WILD,Zürich Wildbachstrasse,33750,33780,33772
33690,2,531,1,2,2680,FROE,Zürich Fröhlichstrasse,33810,33840,33827
33690,2,531,1,2,2615,HOES,Zürich Höschgasse,33876,33906,33900
33690,2,531,1,2,2689,FELD,Zürich Feldeggstrasse,33942,33978,34008
33690,2,531,1,2,2612,KRES,Zürich Kreuzstrasse,34020,34044,34084
33690,2,531,1,2,2104,OPER,Zürich Opernhaus,34092,34134,34164
33690,2,531,1,2,1565,BELL,Zürich Bellevue,34218,34272,34288
33690,2,531,1,2,2590,BURK,Zürich Bürkliplatz,34344,34404,34404
33690,2,531,1,2,2228,BOES,Zürich Börsenstrasse,34440,34470,34500
33690,2,531,1,2,1528,PARA,Zürich Paradeplatz,34500,34560,34566
33690,2,531,1,2,2657,SIHS,Zürich Sihlstrasse,34620,34668,34692
33690,2,531,1,2,1502,STAU,Zürich Stauffacher,34740,34830,34832
33690,2,531,1,2,1306,BEZI,Zürich Bezirksgebäude,34884,34926,34920
33690,2,531,1,2,1906,KALK,Zürich Kalkbreite,34962,34998,34995
33690,2,531,1,2,2248,LOCH,Zürich Lochergut,35046,35076,35078
33690,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,35118,35148,35130
33690,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,35202,35250,35223
33690,2,531,1,2,2245,LETG,Zürich Letzigrund,35310,35334,35303
33690,2,531,1,2,2253,FREI,Zürich Freihofstrasse,35382,35406,35375
33690,2,531,1,2,2244,KAPP,Zürich Kappeli,35454,35472,35447
33690,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,35544,35562,35528
33690,2,531,1,2,2535,LIND,Zürich Lindenplatz,35616,35640,35602
33690,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,35682,35700,35665
33690,2,531,1,2,1310,FARB,Zürich Farbhof,35754,35754,35870
35880,2,531,1,1,1310,FARB,Zürich Farbhof,35880,35880,35893
35880,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,35934,35952,35944
35880,2,531,1,1,2535,LIND,Zürich Lindenplatz,35982,36012,36026
35880,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,36054,36084,36084
35880,2,531,1,1,2244,KAPP,Zürich Kappeli,36150,36174,36159
35880,2,531,1,1,2253,FREI,Zürich Freihofstrasse,36222,36246,36237
35880,2,531,1,1,2245,LETG,Zürich Letzigrund,36294,36318,36301
35880,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,36378,36420,36401
35880,2,531,1,1,2250,ZYPR,Zürich Zypressenstrasse,36456,36486,36468
35880,2,531,1,1,2248,LOCH,Zürich Lochergut,36522,36552,36522
35880,2,531,1,1,1906,KALK,Zürich Kalkbreite,36612,36654,36604
35880,2,531,1,1,1306,BEZI,Zürich Bezirksgebäude,36690,36732,36680
35880,2,531,1,1,1502,STAU,Zürich Stauffacher,36792,36882,36924
35880,2,531,1,1,2657,SIHS,Zürich Sihlstrasse,36960,37002,37029
35880,2,531,1,1,1528,PARA,Zürich Paradeplatz,37062,37122,37132
35880,2,531,1,1,2228,BOES,Zürich Börsenstrasse,37164,37182,37199
35880,2,531,1,1,2590,BURK,Zürich Bürkliplatz,37254,37290,37296
35880,2,531,1,1,1565,BELL,Zürich Bellevue,37368,37428,37425
35880,2,531,1,1,2104,OPER,Zürich Opernhaus,37476,37512,37505
35880,2,531,1,1,2612,KRES,Zürich Kreuzstrasse,37542,37572,37572
35880,2,531,1,1,2689,FELD,Zürich Feldeggstrasse,37614,37644,37633
35880,2,531,1,1,2615,HOES,Zürich Höschgasse,37686,37716,37696
35880,2,531,1,1,2680,FROE,Zürich Fröhlichstrasse,37764,37794,37797
35880,2,531,1,1,2651,WILD,Zürich Wildbachstrasse,37824,37848,37844
35880,2,531,1,1,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,37890,37890,38182
38190,2,531,1,2,2788,BTIE,Zürich Bahnhof Tiefenbrunnen,38190,38190,38200
38190,2,531,1,2,2651,WILD,Zürich Wildbachstrasse,38250,38280,38266
38190,2,531,1,2,2680,FROE,Zürich Fröhlichstrasse,38310,38340,38316
38190,2,531,1,2,2615,HOES,Zürich Höschgasse,38376,38406,38396
38190,2,531,1,2,2689,FELD,Zürich Feldeggstrasse,38442,38478,38444
38190,2,531,1,2,2612,KRES,Zürich Kreuzstrasse,38520,38544,38520
38190,2,531,1,2,2104,OPER,Zürich Opernhaus,38592,38634,38611
