stop_seq,stop_name,passenger_on,passenger_off,passenger_load,seconds,route,latitude,longitude,trip_id,dir,vehno,timestop,timedoorclose,timepullout,doordwell,waitdwell,sincemidnight,hms,
36, VAN NESS AVE&MARKET ST NE-FS,0,0,0,9,49,37.7736,-122.418,461,1,7122,4:34:09,4:34:58,4:35:28,00:00:49,00:00:30,16449,4:34:9
37, VAN NESS AVE&GROVE ST NE-FS/,0,0,0,42,49,37.7787,-122.42,461,1,7122,4:37:42,4:37:42,4:37:42,00:00:00,00:00:00,16662,4:37:42
38, VAN NESS AVE&MCALLISTER ST S,0,0,0,57,49,37.7799,-122.42,461,1,7122,4:37:57,4:38:12,4:38:28,00:00:15,00:00:16,16677,4:37:57
39, VAN NESS AVE&TURK ST NE-FS/B,0,0,0,56,49,37.7821,-122.421,461,1,7122,4:38:56,4:38:56,4:38:56,00:00:00,00:00:00,16736,4:38:56
40, VAN NESS AVE&EDDY ST NE-FS/B,0,0,0,12,49,37.783,-122.421,461,1,7122,4:39:12,4:39:12,4:39:12,00:00:00,00:00:00,16752,4:39:12
41, VAN NESS AVE&OFARRELL ST NE-,0,0,0,15,49,37.7846,-122.421,461,1,7122,4:40:15,4:40:15,4:40:15,00:00:00,00:00:00,16815,4:40:15
42, VAN NESS AVE&POST ST E-MB/BB,0,0,0,42,49,37.7862,-122.422,461,1,7122,4:40:42,4:40:42,4:40:42,00:00:00,00:00:00,16842,4:40:42
3, CABRILLO ST&47TH AVE SW-NS/P,0,0,0,17,31,37.7733,-122.508,464,1,5500,4:41:17,4:41:17,4:41:17,00:00:00,00:00:00,16877,4:41:17
4, 45TH AVE&CABRILLO ST NE-FS/P,0,0,0,47,31,37.7734,-122.506,464,1,5500,4:41:47,4:41:47,4:41:47,00:00:00,00:00:00,16907,4:41:47
43, VAN NESS AVE&SUTTER ST NE-FS,0,0,0,56,49,37.788,-122.422,461,1,7122,4:41:56,4:41:56,4:41:56,00:00:00,00:00:00,16916,4:41:56
5, 45TH AVE&BALBOA ST SE-NS/PS,2,1,2,18,31,37.7752,-122.506,464,1,5500,4:42:18,4:42:25,4:42:43,00:00:07,00:00:18,16938,4:42:18
44, VAN NESS AVE&CALIFORNIA ST N,0,0,0,45,49,37.7902,-122.422,461,1,7122,4:42:45,4:42:45,4:42:45,00:00:00,00:00:00,16965,4:42:45
6, BALBOA ST&43RD AVE SW-NS/PS,2,0,4,59,31,37.7755,-122.504,464,1,5500,4:42:59,4:43:05,4:43:16,00:00:06,00:00:11,16979,4:42:59
7, BALBOA ST&40TH AVE SW-NS/PS,0,0,4,41,31,37.7756,-122.501,464,1,5500,4:43:41,4:43:41,4:43:41,00:00:00,00:00:00,17021,4:43:41
45, VAN NESS AVE&CLAY ST NE-FS/B,0,0,0,51,49,37.7928,-122.423,461,1,7122,4:43:51,4:43:51,4:43:51,00:00:00,00:00:00,17031,4:43:51
46, VAN NESS AVE&JACKSON ST NE-F,0,0,0,23,49,37.7939,-122.423,461,1,7122,4:44:23,4:44:23,4:44:23,00:00:00,00:00:00,17063,4:44:23
